Purchase Date,Product Name,Expiry Date,Quantity,Unit Price,Channel,Payment Method,Discount,Final Price
2023-04-11T12:11:29Z,Coffee - Irish Cream,2023-05-02,14,39.79,Store,Visa,0.08,36.6068
2023-05-07T05:07:41Z,Carbonated Water - Orange,2023-07-29,12,218.54,Store,Cash,0.035,210.8911
2023-03-25T04:58:16Z,Veal - Loin,2023-06-13,15,97.67,Store,Cash,0.05,92.7865
2023-03-22T13:05:02Z,Beans - Butter Lrg Lima,2023-03-25,12,203.85,Store,Cash,0.17,169.19549999999998
2023-04-05T14:33:02Z,Sparkling Wine - Rose Freixenet,2023-06-12,3,239.85,Store,Cash,0.0,239.85
2023-04-25T21:26:49Z,Phyllo Dough,2023-05-18,6,116.3,Store,Cash,0.060000000000000005,109.322
2023-04-11T04:46:06Z,Marjoram - Fresh,2023-04-25,8,23.68,Store,Visa,0.10500000000000001,21.1936
2023-03-14T17:54:57Z,Seabream Whole Farmed,2023-06-10,12,137.95,Store,Cash,0.035,133.12175
2023-04-18T08:02:38Z,Table Cloth 90x90 White,2023-06-14,3,226.48,Store,Cash,0.0,226.48
2023-04-09T04:26:46Z,Veal - Eye Of Round,2023-07-03,3,237.97,App,Visa,0.05,226.0715
2023-05-03T16:52:08Z,Cocoa Butter,2023-05-07,10,29.05,Store,Cash,0.165,24.25675
2023-03-18T18:59:24Z,Coffee Cup 12oz 5342cd,2023-04-30,4,184.05,Store,Visa,0.025,179.44875000000002
2023-03-23T09:52:11Z,Coconut - Creamed Pure,2023-06-18,16,112.73,Store,Visa,0.3,78.911
2023-03-28T18:26:09Z,Banana - Green,2023-06-04,13,47.29,Store,Cash,0.035,45.63485
2023-03-28T15:53:10Z,Country Roll,2023-04-01,13,182.51,Store,Cash,0.165,152.39585
2023-04-22T06:04:16Z,Chip - Potato Dill Pickle,2023-06-19,17,75.92,Store,Visa,0.07500000000000001,70.226
2023-03-29T05:18:17Z,Nantuket Peach Orange,2023-05-04,5,144.49,Store,Visa,0.025,140.87775000000002
2023-04-08T23:02:12Z,Mushroom - Morel Frozen,2023-05-23,9,48.97,Store,Cash,0.025,47.74575
2023-04-16T10:52:03Z,Water - Tonic,2023-07-06,5,28.74,App,Visa,0.05,27.302999999999997
2023-04-16T11:59:18Z,Bread - Italian Sesame Poly,2023-06-09,13,91.47,App,Visa,0.11,81.4083
